ticker,epochs_trained,train_r2,train_rmse,train_dir_acc,val_r2,val_rmse,val_dir_acc,test_r2,test_rmse,test_dir_acc,target_date,forecast_return
FERG,16,0.16592159282024388,0.09041391634780217,73.74830852503383,-0.4997159961346731,0.09494553665032054,39.45945945945946,0.041834196615411545,0.0774563360576867,77.95698924731182,2026-03-11,3.465116
NUE,17,0.36329068994898683,0.0850870687296653,66.09778597785979,-0.26728297380271937,0.10429597653109235,58.30258302583026,-0.29163129262055043,0.09903421342144322,73.16176470588235,2026-03-11,3.7109733
CNH,16,0.1572990919028684,0.09464938422438014,66.85159500693482,0.09974900542147269,0.06707070179887564,62.45353159851301,0.09580904334363849,0.08825732671328997,72.79411764705883,2026-03-11,6.755841
CSCO,16,0.22323366438346504,0.06047803472839277,67.18966312874942,-1.4599180019724218,0.06789449107046089,51.66051660516605,0.12194437534533309,0.05325266131346698,72.05882352941177,2026-03-11,2.1478295
WELL,32,0.8835451379889793,0.03320895853087034,90.58606368251039,-0.21782467157896335,0.056634494707238525,61.48148148148148,-0.13042157384763242,0.060076269468049115,71.69117647058823,2026-03-11,-5.2247167
LDOS,16,0.19482947057763866,0.07462575705213553,66.42066420664207,0.16262674933007848,0.07293584598048145,67.52767527675276,-0.12117061081478475,0.06925216121712392,71.69117647058823,2026-03-11,-6.938672
REGN,17,0.49627099631935634,0.062240521306794,75.65698478561549,-0.1682231200915163,0.10163687005873918,51.291512915129154,0.17691289643700192,0.08571130637127838,70.58823529411765,2026-03-11,-7.990843
ECL,26,0.8212832631485996,0.026431483289469343,84.91697416974169,-0.1608988973864549,0.04483196845804037,56.82656826568265,0.10059904884164494,0.051810146811614596,70.22058823529412,2026-03-11,4.5564413
SNOW,33,0.9032822104476783,0.04952581469915142,89.68446601941747,-0.4318899262551126,0.14559412567158342,57.28155339805825,-0.2842461404471983,0.1424789943109734,69.90291262135922,2026-03-11,1.3551593
PSX,16,0.34032421281085024,0.08782153112017567,71.59981558321807,-0.6624831917440084,0.10311212086370121,43.91143911439114,0.1383234854197386,0.08626389970512713,69.48529411764706,2026-03-11,-7.986319
GE,17,0.48448229167067614,0.08269268050093108,75.59963099630997,-0.5810004878862902,0.09131760530985043,55.71955719557196,-0.19559846460450703,0.09199223681259755,69.48529411764706,2026-03-11,6.650436
MDB,22,0.705017535557446,0.10263413792216133,81.7471590909091,-0.23492829927636505,0.21350226187128735,52.84090909090909,-0.309686897261475,0.16904870272480643,68.92655367231639,2026-03-11,4.654622
HWM,29,0.8758200810804664,0.042003643559292606,86.69581511555278,0.3123266813098061,0.06297829343470632,76.0,-0.4345758638242694,0.1014202039174046,68.1592039800995,2026-03-11,1.3510108
J,51,0.9284148581628097,0.019347338729659463,92.34670355002305,-0.1632353925810126,0.058304934535781616,69.74169741697416,-0.07023292054980601,0.06950433359390139,68.01470588235294,2026-03-11,-3.6464453
RTX,16,0.11699242826272716,0.07504258459350449,63.05350553505535,-0.2255055925375169,0.057022539474511885,59.040590405904055,-0.5060567953617148,0.060233823561342055,68.01470588235294,2026-03-11,2.3422122
XYL,16,0.14744840805645776,0.06913934402339977,70.5122288878634,-0.061322315523473,0.06001187346720697,64.20664206642066,0.09804478045876108,0.06367705720598488,68.01470588235294,2026-03-11,4.4250727
LULU,16,0.1689579679362162,0.10002753008922521,64.46700507614213,-0.09083595648394294,0.1323099971255404,52.398523985239855,0.05369028336123749,0.14193063572976988,68.01470588235294,2026-03-11,-3.983146
MS,22,0.7895737996906994,0.0424069714098387,84.77859778597787,-0.4261053795641192,0.08737628489839586,65.31365313653137,0.13199872616082076,0.07295018657440472,67.27941176470588,2026-03-11,-5.9257507
VRTX,17,0.40977826703778253,0.06537738890297475,72.52189949285385,-0.18038358232894103,0.07772444663383583,45.75645756457565,-0.23197158509369786,0.09254533837451495,66.54411764705883,2026-03-11,0.80503225
DGX,19,0.5620054221355169,0.0483075024503558,76.34854771784232,-0.31157436412147543,0.05214908715727051,60.147601476014756,-0.40886208042020433,0.05798786669214236,65.68265682656826,2026-03-11,2.9794574
AMAT,16,0.25250527770130826,0.09075729402764991,75.23062730627306,-0.22842700411076233,0.11275268218536329,56.457564575645755,0.016049694337753495,0.12418844582279748,65.44117647058823,2026-03-11,6.7407966
JCI,16,0.23105612924331687,0.07204873856797832,64.7140221402214,-0.30255247402294727,0.06524059966201837,55.71955719557196,-0.10777796889320834,0.08262137336050575,64.57564575645756,2026-03-11,1.7863393
HD,16,0.22239630225507145,0.0596298721618645,67.95758414015675,0.06123287370360997,0.0609869279670815,61.254612546125465,0.1349315615297758,0.0596616241164886,64.33823529411765,2026-03-11,-0.7054925
PLD,16,0.22417919369259576,0.06601813066183768,68.37488457987074,-0.10746440451809702,0.0910843994239947,46.86346863468634,-0.06723268394266446,0.07011279030985942,64.33823529411765,2026-03-11,0.5490422
COF,21,0.723463484309759,0.05537056068929785,86.01753576372866,-1.1235860197029401,0.10324160234556207,54.24354243542435,-0.21897317776171232,0.09960086309918893,64.33823529411765,2026-03-11,4.7761083
INTC,18,0.5864364921650731,0.05529869130371312,76.93726937269373,0.08432627693942774,0.15873503578486614,48.33948339483395,-0.1112441743533783,0.14973820246541825,64.33823529411765,2026-03-11,4.207802
