ticker,target_date,forecast_return,test_dir_acc,test_r2
CPRT,2026-03-11,0.34787655,39.85239852398524,-0.3559393952223535
IBM,2026-03-11,3.2966971,39.705882352941174,-0.2823703385249803
HUBS,2026-03-11,14.463509,39.52569169960474,-1.144470459758233
TEAM,2026-03-11,16.184998,39.46188340807175,-2.905414512864432
AKAM,2026-03-11,0.095295906,39.338235294117645,-0.4313782813438518
BKR,2026-03-11,2.3912787,38.970588235294116,-0.5168880008277137
T,2026-03-11,-4.700458,38.970588235294116,-0.6031593283395484
MCD,2026-03-11,2.6578665,38.60294117647059,-1.183357160984352
CLX,2026-03-11,-7.0464373,38.60294117647059,-1.3831511804533863
KMX,2026-03-11,-0.36947727,38.60294117647059,-0.2893987461782799
FIS,2026-03-11,-15.719813,38.37638376383764,-0.6578292196090869
EME,2026-03-11,4.751885,38.23529411764706,-0.2304885654834068
FDS,2026-03-11,7.9869866,38.23529411764706,-1.0143916111767313
ZBH,2026-03-11,-0.82989335,37.86764705882353,-1.8017496974632667
IT,2026-03-11,12.148094,37.13235294117647,-0.9292431447092977
LII,2026-03-11,-3.9455652,37.13235294117647,-0.582080680186128
USB,2026-03-11,-1.0128975,36.76470588235294,-0.45473322957235185
SPGI,2026-03-11,1.8924952,36.029411764705884,-0.3629184105145342
URI,2026-03-11,11.281574,34.92647058823529,-0.6422420112702505
MLM,2026-03-11,-2.0645678,34.55882352941176,-0.23236954213277694
CEG,2026-03-11,12.198591,34.285714285714285,-8.040984145081579
WBD,2026-03-11,-11.960101,33.455882352941174,-0.963819534273457
PYPL,2026-03-11,-0.46468973,33.33333333333333,-0.7239320544791137
PFE,2026-03-11,-5.091119,33.088235294117645,-1.5348312580847865
CAG,2026-03-11,3.853953,31.61764705882353,-1.8397069343899286
ADP,2026-03-11,0.7814646,31.25,-1.6400508513114587
CPB,2026-03-11,0.22643805,31.25,-0.47729641109533216
GILD,2026-03-11,1.814568,30.88235294117647,-1.4492109733700835
BK,2026-03-11,-3.360778,29.77941176470588,-1.7402351012633752
GDDY,2026-03-11,2.785182,29.338842975206614,-1.3405637289197174
NOW,2026-03-11,11.602461,28.676470588235293,-0.7912667253040937
DECK,2026-03-11,4.3426156,28.308823529411764,-0.42274482102479927
CRWD,2026-03-11,-13.162697,25.0,-2.5978603894385777
